0,Imagen,Nombre,Desc (ES),Desc (EN),Count,Points,Points A,Points B,Points C,Points D,Points E
40,,Moki,"En las cuevas de cristal, el pequeño Moki soñaba con alcanzar los frutos más altos. Mientras los adultos de su especie trepaban con facilidad, Moki solía calcular mal las distancias debido a su único ojo y terminaba rodando por el suelo como una pelota azul.
Un día, un grupo de exploradores dejó caer una baya brillante en una grieta estrecha. Los grandes no cabían, pero Moki, con su cuerpo compacto, se deslizó sin dudarlo. Al recuperar la baya, el esfuerzo hizo que su pequeño cuerno brillara por primera vez.","""In the crystal caves, little Moki dreamed of reaching the highest fruits. While the adults of his kind climbed with ease, Moki often misjudged distances because of his single eye and ended up rolling on the ground like a blue ball. One day, a group of explorers dropped a shiny berry into a narrow crevice. The larger ones couldn't fit, but Moki, with his compact body, slipped in without hesitation. As he retrieved the berry, the effort made his little horn glow for the first time.",485,1,,,1,,
41,,Mokiki,"Mokiki es un cíclope azul de corazón tierno que vive en las Cuevas de Algodón. A pesar de su apariencia robusta y sus pequeños colmillos, Mokiki tiene un problema: su único ojo es tan grande que a veces ve cosas que los demás ignoran, como el rastro de purpurina que dejan las estrellas al caer.
Un día, Mokiki encontró a Puppai llorando porque había perdido uno de sus botones. Sin dudarlo, Mokiki frotó su pequeño cuerno marrón, el cual empezó a brillar con una luz cálida.","Mokiki is a kind-hearted blue cyclops who lives in the Cotton Caves. Despite his sturdy appearance and small fangs, Mokiki has a problem: his single eye is so large that he sometimes sees things others miss, like the trail of glitter left by falling stars. One day, Mokiki found Puppai crying because he had lost one of his buttons. Without hesitation, Mokiki rubbed his small brown horn, which began to glow with a warm light.",427,2,,,2,,
42,,Lampia,"Lampia vivía en el Bosque Vectorial. Era pequeño, amarillo y tenía alas cortas, pero mucha determinación. Cada día se colocaba firme, miraba al cielo y saltaba. Volaba solo unos segundos antes de caer, pero nunca se rendía. Para él, cada intento era aprendizaje. Los demás lo observaban con curiosidad mientras Lampia ajustaba su postura y volvía a intentarlo. No quería ser el mejor, solo mejorar un poco más cada día. ","Lampia lived in the Vector Forest. He was small, yellow, and had short wings, but a lot of determination. Every day he stood at attention, looked up at the sky, and jumped. He flew for only a few seconds before falling, but he never gave up. For him, every attempt was a learning experience. The others watched him with curiosity as Lampia adjusted his stance and tried again. He didn't want to be the best, just to improve a little more each day.",447,2,2,,,,
43,,Orangli,"Este curioso ser nace con un instinto incontrolable hacia los cítricos. Su crecimiento depende exclusivamente de la vitamina C, por lo que su única misión en la vida es consumir más de 10 toneladas de naranjas jugosas para lograr transformarse en adulto. Siempre se le ve con el hocico manchado de jugo y, aunque es pequeño, es capaz de pelar la fruta más dura en segundos para devorar su interior.","This curious being is born with an uncontrollable instinct for citrus. Its growth depends entirely on Vitamin C, making its sole mission in life to consume over 10 tons of juicy oranges to successfully transform into an adult. It is often seen with a juice-stained snout, and despite its small size, it can peel even the toughest fruit in seconds to devour what lies inside.",374,1,,,1,,
44,,Orangore,"Al alcanzar su etapa adulta, este ser desarrolla una obsesión por las naranjas más ácidas y llenas de jugo. Los ácidos cítricos que ingiere reaccionan con su metabolismo, convirtiendo su piel externa en una corteza rugosa, aromática y casi impenetrable. Es conocido por dejar arboledas de cítricos completamente vacías antes de derrumbarse bajo la sombra de un árbol para dormir mientras su cuerpo asimila la vitamina C.","Upon reaching adulthood, this creature develops an obsession for the most acidic, juice-filled oranges. The citric acids it ingests react with its metabolism, turning its outer skin into a rugged, aromatic, and nearly impenetrable rind. It is known for stripping citrus groves bare before collapsing under the shade of a tree to sleep while its body assimilates the Vitamin C.",376,3,,,3,,
45,,Nebulon,"Esta criatura habita en las zonas más oscuras y profundas del cosmos. Su piel es de un azul oscuro casi negro, marcada por líneas naranjas bioluminiscentes que pulsan al ritmo de su energía. Este ser es silencioso y estático. Al girar, genera campos electromagnéticos de color naranja que paralizan a quien se acerque. Sus cuernos actúan como pararrayos, acumulando tormentas espaciales que luego libera a través de sus tentáculos.","This creature dwells in the darkest, deepest zones of the cosmos. Its skin is a dark, almost black blue, marked by bioluminescent orange lines that pulse to the rhythm of its energy. This being is silent and static. When spinning, it generates orange electromagnetic fields that paralyze anyone who gets too close. Its horns act as lightning rods, accumulating space storms that are later released through its tentacles.",420,3,,3,,,
46,,Globi,"En el planeta Minimalia vivía Globi, una criatura azul de un solo ojo y grandes aspiraciones. Un día, su ojo parpadeó en verde: alerta intergaláctica activada. Sin pensarlo, Globi levantó los brazos y puso su mejor cara de “soy muy peligroso”. No lo era, pero nadie se atrevió a comprobarlo. Así, casi por accidente, se convirtió en el guardián del planeta. Desde entonces protege Minimalia con entusiasmo y un éxito sorprendente.","On the planet Minimalia lived Globi, a one-eyed blue creature with grand ambitions. One day, his eye blinked green: intergalactic alert activated. Without thinking, Globi raised his arms and put on his best ""I'm very dangerous"" face. He wasn't, but no one dared to test him. Thus, almost by accident, he became the planet's guardian. Since then, he has protected Minimalia with enthusiasm and surprising success.",412,1,1,,,,
47,,Glober,"Cuando Globi cambió, nació Glober. Dos ojos nuevos le dieron una visión más amplia del mundo… y también más preguntas. Ya no actúa solo por impulso: ahora duda, observa y reacciona con sorpresa ante casi todo. A veces levanta los brazos y grita, no para asustar, sino para probar qué es capaz de hacer. Glober sigue siendo torpe y expresivo, pero está aprendiendo. Es el mismo de siempre, solo que un paso más cerca de entender el caos que lo rodea.","When Globi changed, Glober was born. Two new eyes gave him a broader view of the world… and also more questions. He no longer acts solely on impulse: now he hesitates, observes, and reacts with surprise to almost everything. Sometimes he raises his arms and shouts, not to scare, but to test what he's capable of. Glober is still clumsy and expressive, but he's learning. He's the same as always, only one step closer to understanding the chaos that surrounds him.",464,2,2,,,,
48,,Globanor,"Cuando Glober terminó de transformarse, apareció Globanor. Tres ojos bien abiertos le permiten verlo todo. Sus brazos en alto y sus colmillos afilados imponen respeto en todo el planeta. Pero, en el fondo, Globanor sigue siendo el mismo de siempre: curioso, expresivo y un poco torpe.","When Glober finished transforming, Globanor appeared. Three wide-open eyes allow him to see everything. His raised arms and sharp fangs command respect across the planet. But deep down, Globanor is still the same as always: curious, expressive, and a little clumsy.",265,3,3,,,,
49,,Batli,"Este pequeño ser de color azul cielo no vuela aleteando con fuerza, sino que se desliza aprovechando las corrientes térmicas. Su piel segrega una sustancia que elimina casi toda fricción con el aire, convirtiéndolo en un proyectil viviente sin frenos. Aunque desde lejos parece elegante dibujando bucles y espirales perfectas, la realidad es más caótica: es incapaz de detenerse por voluntad propia.","This small, sky-blue creature doesn't fly by flapping hard, but by gliding on thermal currents. Its skin secretes a substance that eliminates almost all air friction, turning it into a living projectile with no brakes. Although from afar it looks elegant drawing perfect loops and spirals, the reality is more chaotic: it is incapable of stopping at will.",355,1,,,,,1
50,,Batilin,"Este murciélago de pelaje azul noche ha llevado el vuelo invertido a un nivel de arte sigiloso. A diferencia de su ruidoso pariente amarillo, esta criatura vuela panza arriba por pura estrategia depredadora de camuflaje. Su vientre oscuro se confunde perfectamente con el cielo nocturno, haciéndolo invisible para las presas que miran desde el suelo. Posee un sentido del radar tan avanzado que navega entre los árboles sin emitir sonido alguno, y se dice que su extraño control de la gravedad le permite incluso 'aterrizar' sobre la superficie de las nubes para descansar.","This midnight-blue bat has taken upside-down flight to the level of stealth art. Unlike its noisy yellow relative, this creature flies belly-up purely for predatory camouflage strategy. Its dark belly blends perfectly with the night sky, making it invisible to prey looking up from the ground. It possesses such an advanced radar sense that it navigates through trees without making a sound, and it is said that its strange control over gravity even allows it to 'land' on the surface of clouds to rest.",503,2,,2,,,
51,,Irigo,"Esta variante de color verde intenso habita en zonas húmedas, donde su piel ha desarrollado una capa gruesa y esponjosa de musgo vivo que cubre toda su espalda. Está convencido de ser una bestia aterradora y usa su 'armadura vegetal' para parecer más grande, sacudiéndose para liberar nubes de esporas dramáticas. Sin embargo, es igual de blando e inofensivo; la única amenaza real que presenta es que si lo abrazas, te dejará la ropa manchada de humedad y olor a bosque.","This intense green variant inhabits damp areas, where its skin has developed a thick, spongy layer of living moss covering its entire back. It is convinced it is a terrifying beast and uses its 'vegetal armor' to look bigger, shaking itself to release clouds of dramatic spores. However, it is just as soft and harmless; the only real threat it poses is that if you hug it, your clothes will be stained with moisture and the smell of the forest.",445,1,,,,1,
52,,Irigorn,"En su etapa adulta, el cuerpo regordete de esta criatura se ha fusionado completamente con el entorno. La capa de musgo sobre su espalda ha crecido tanto que ahora soporta pequeñas setas bioluminiscentes y raíces que forman una armadura natural y resistente. Ya no necesita solo posar para intimidar; ahora es capaz de camuflarse perfectamente como un arbusto inerte y saltar de golpe para dar sustos dramáticos. Sigue siendo inofensivo por dentro, pero su abrazo ahora es mucho más pesado y pegajoso.","In its adult stage, the creature's plump body has fully merged with the environment. The layer of moss on its back has grown so much that it now supports small bioluminescent mushrooms and roots that form a tough natural armor. It no longer needs to just pose to intimidate; it is now able to camouflage perfectly as an inert bush and jump out suddenly to deliver dramatic scares. It remains harmless on the inside, but its hug is now much heavier and stickier.",461,3,,,,3,
53,,Devilimp,"Este pequeño ser, con apariencia de diablillo travieso, sueña con ser un villano temible, pero su naturaleza torpe se lo impide. Viste un traje morado con capucha y alas, complementado con enormes guantes y botas de goma amarilla que chirrían al andar, arruinando cualquier intento de sigilo. Sus grandes ojos siempre muestran preocupación, probablemente porque aún no controla bien el vuelo y suele estrellarse contra las paredes. Aunque intenta fruncir el ceño, solo consigue inspirar ternura.","This little being, resembling a mischievous imp, dreams of being a fearsome villain, but his clumsy nature gets in the way. He wears a purple hooded suit with wings, complemented by huge yellow rubber gloves and boots that squeak when he walks, ruining any attempt at stealth. His large eyes always show worry, likely because he hasn't mastered flight yet and tends to crash into walls. Although he tries to frown to look mean, he only manages to inspire tenderness.",466,2,,,,,2
54,,Murbat,"Esta extraña criatura nocturna se distingue por su visión sobrenatural, otorgada por tres grandes ojos amarillos que brillan en la oscuridad. Su pelaje marrón es suave, contrastando con la membrana púrpura de sus alas. No es un animal común; muestra signos de una cultura propia, adornando su oreja izquierda con aros de oro que cuida con esmero. Se rumorea que mientras sus dos ojos inferiores vigilan el mundo físico, el tercero percibe las auras y las intenciones, haciéndolo imposible de emboscar.","Esta criatura nocturna destaca por su visión sobrenatural, otorgada por tres grandes ojos amarillos que brillan en la oscuridad. Su pelaje marrón contrasta con sus alas púrpuras. Muestra una inteligencia inusual, adornando su oreja con aros de oro que tintinean al volar. Se dice que mientras sus ojos inferiores vigilan el plano físico, el tercero percibe las auras y las intenciones, lo que lo convierte en un guardián imposible de emboscar.",443,2,2,,,,
55,,Yixlen,"Esta grácil criatura es un híbrido único entre el mundo marino y el aéreo. Su cuerpo termina en una elegante cola de pez de color salmón, diseñada para nadar a gran velocidad, mientras que su torso está cubierto por un suave pelaje lila y blanco. Posee unas enormes orejas puntiagudas que le sirven tanto para detectar depredadores bajo el agua como para estabilizarse en el aire, ya que también cuenta con pequeñas aletas dorsales y laterales que funcionan como alas rudimentarias para planear distancias cortas sobre la superficie del océano.","This graceful creature is a unique hybrid between the marine and aerial worlds. Its body ends in an elegant salmon-colored fishtail, designed for high-speed swimming, while its torso is covered in soft lilac and white fur. It possesses huge pointed ears that serve both to detect underwater predators and to stabilize it in the air, as it also has small dorsal and side fins that function as rudimentary wings for gliding short distances above the ocean surface.",462,3,,3,,,
56,,Snox,"Esta criatura es un híbrido curioso entre un zorro y una serpiente. Su pelaje color crema es suave, y sus grandes orejas triangulares detectan el menor ruido en la maleza. A diferencia de un gato, su hocico es afilado y sus ojos dorados denotan una astucia innata desde el nacimiento. Aunque parece adorable con sus tonos rosados, es esquivo y rápido; se desliza entre las sombras del bosque y roba bayas o pequeños objetos brillantes para esconderlos en su madriguera subterránea.","This creature is a curious hybrid between a fox and a snake. Its cream-colored fur is soft, and its large triangular ears detect the slightest noise in the brush. Unlike a cat, its snout is pointed, and its golden eyes denote an innate cunning from birth. Although it looks adorable with its pink tones, it is elusive and fast; it slithers through the forest shadows and steals berries or small shiny objects to hide them in its underground burrow.",448,1,1,,,,
57,,Snoxake,Su evolución revela su verdadera naturaleza de embaucador. Las marcas púrpuras en su cuerpo no son solo decorativas; se dice que hipnotizan a quienes las miran fijamente mientras se mueve. Su expresión burlona y cejas fruncidas delatan una inteligencia maliciosa. Ya no se esconde por miedo; usa su cuerpo serpenteante para rodear a sus presas mientras las confunde con ladridos agudos. Es un maestro de la ilusión que disfruta perdiendo a los viajeros en bosques densos.,Its evolution reveals its true trickster nature. The purple markings on its body are not just decorative; they are said to hypnotize those who stare at them while it moves. Its mocking expression and furrowed brows betray a malicious intelligence. It no longer hides out of fear; it uses its serpentine body to encircle prey while confusing them with sharp barks. It is a master of illusion that enjoys getting travelers lost in dense forests.,443,2,2,,,,
58,,Chirrlim,"Este pequeño ser de tres ojos tiene un metabolismo tan acelerado que solo se calma con la ingesta masiva de cerezas dulces. A diferencia de otros comedores de fruta, este no desperdicia nada: sus fuertes muelas trituran incluso los huesos para obtener minerales extra que fortalecen sus pequeños cuernos. Es muy territorial con su cosecha; si alguien se acerca a su árbol, usará su tercer ojo para apuntar y escupir los huesos de cereza como si fueran balas a gran velocidad.","This small, three-eyed being has a metabolism so fast that it is only calmed by the massive intake of sweet cherries. Unlike other fruit eaters, this one wastes nothing: its strong molars crush even the pits to obtain extra minerals that strengthen its small horns. It is very territorial with its harvest; if anyone approaches its tree, it will use its third eye to aim and spit cherry pits like high-speed bullets.",416,1,,,1,,
59,,Chirrmlore,"Tras consumir toneladas de fruta, evoluciona a esta forma rotunda y pesada. Su cuerpo ha acumulado tantas reservas de azúcar que apenas camina, prefiriendo sentarse a comer sin pausa. Su estómago funciona como una caldera de fermentación interna; aunque parece perezoso y feliz, si se siente amenazado puede liberar la presión acumulada en forma de eructos explosivos o ráfagas de gas tóxico. Sus tres ojos ahora se mueven independientemente para localizar cada cereza caída.","After consuming tons of fruit, it evolves into this rotund, heavy form. Its body has accumulated so many sugar reserves that it barely walks, preferring to sit and eat without pause. Its stomach functions like an internal fermentation boiler; although it seems lazy and happy, if threatened, it can release accumulated pressure in the form of explosive burps or bursts of toxic gas. Its three eyes now move independently to spot every fallen cherry.",449,3,,,3,,
60,,Violex,"Este ser bípedo de cuerpo redondo y pelaje púrpura oscuro parece estar en un estado perpetuo de profunda reflexión. Su postura, con una garra en la barbilla y el ceño fruncido, sugiere que está resolviendo los misterios del universo, o quizás solo decidiendo qué cenar. Su cola esponjosa, de color crema en la punta, se agita nerviosamente mientras piensa. A pesar de su apariencia seria y un poco gruñona, es inofensivo; su mayor peligro es que te aburra con sus largas divagaciones filosóficas.","This round-bodied, dark purple bipedal being seems to be in a perpetual state of deep reflection. Its posture, with a claw on its chin and a furrowed brow, suggests it is solving the mysteries of the universe, or perhaps just deciding what to have for dinner. Its fluffy tail, tipped in cream, twitches nervously while it thinks. Despite its serious and slightly grumpy appearance, it is harmless; its greatest danger is boring you with its long philosophical ramblings.",470,2,,2,,,
61,,Tailfary,"Este sofisticado ser de pelaje azul celeste es el alma de las reuniones del bosque. Su rasgo más distintivo es el collar de pelaje rosado y esponjoso alrededor de su cuello, que actúa como un filtro natural para las toxinas del aire. Es conocido por su gusto refinado: desprecia el agua simple y prefiere recolectar néctares fermentados que bebe con elegancia. A pesar de su apariencia altiva y su copa siempre llena, es un excelente diplomático que resuelve conflictos entre otras especies.","This sophisticated sky-blue being is the soul of forest gatherings. Its most distinctive feature is the fluffy pink fur collar around its neck, which acts as a natural filter for airborne toxins. It is known for its refined taste: it despises plain water, preferring to collect fermented nectars that it drinks with elegance. Despite its haughty appearance and ever-full cup, it is an excellent diplomat who resolves conflicts between other species.",449,2,,,,,2
62,,Glamyur,"Este pequeño roedor es la definición de vanidad en el reino animal. Obsesionado con su apariencia, pasa horas acicalando su suave pelaje amarillo y rosado hasta que brilla. Sus largas pestañas no son solo estéticas; al parpadear rápidamente, libera un polvo hipnótico que aturde a sus depredadores con una falsa sensación de ternura. Es caprichoso y manipulador: usa su encanto para que otros recojan comida para él, pero si ignoras su belleza, atacará con chillidos sónicos insoportables.","This small rodent is the definition of vanity in the animal kingdom. Obsessed with its appearance, it spends hours grooming its soft yellow and pink fur until it shines. Its long eyelashes are not just aesthetic; by blinking rapidly, it releases a hypnotic dust that stuns predators with a false sense of tenderness. It is capricious and manipulative: it uses its charm to get others to gather food for it, but if you ignore its beauty, it will attack with unbearable sonic shrieks.",482,3,,,,,3
63,,Ignippy,"Este pequeño ser de pelaje azul y detalles magenta es pura energía cinética. Sus enormes orejas y cola, que asemejan llamas vivas, reaccionan a sus emociones: arden con mayor intensidad cuando está feliz. Siempre luce una sonrisa contagiosa y se desplaza dando saltitos, biológicamente incapaz de quedarse quieto. Aunque parece un peluche adorable, su cuerpo irradia un calor intenso; es el compañero ideal para el invierno, aunque a veces su entusiasmo provoca pequeños incendios accidentales al abrazar demasiado fuerte.","This small creature with blue fur and magenta details is pure kinetic energy. Its huge ears and tail, resembling living flames, react to its emotions: they burn more intensely when it is happy. It always wears a contagious smile and moves around in little hops, biologically unable to stay still. Although it looks like an adorable plush toy, its body radiates intense heat; it is the ideal companion for winter, though sometimes its enthusiasm causes small accidental fires when it hugs too tight.",498,3,3,,,,
64,,Telekitty,"Telekitty es una pequeña bola de pelo de color lavanda con una cabeza desproporcionadamente grande y unos ojos marrones inmensos que parecen contener lágrimas o galaxias enteras. A diferencia de la elegancia estilizada de Telecathy, Telekitty es torpe y rechoncho. Las marcas doradas en su frente son apenas unos puntos, y sus garras aún son pequeñas y romas. Lleva un cascabel dorado en el cuello que suena suavemente cuando su magia se activa involuntariamente.","Telekitty is a small ball of lavender fur with a disproportionately large head and immense brown eyes that seem to contain tears or entire galaxies. Unlike the stylized elegance of Telecathy, Telekitty is clumsy and chubby. The golden marks on its forehead are barely dots, and its claws are still small and blunt. It wears a golden bell around its neck that rings softly when its magic activates involuntarily.",305,1,,1,,,
65,,Telecathy,"Tiene un caracter serio y elegante, pero es muy leal con sus amigos. Sus poderes psiquicos aumentan a medida que cae la noche, estos le permiten mover objetos con la mente, crear barreras y comunicarse  con los espiritus . A desarrollado una gran capacidad sensorial que le convierte en un gran explorador y vigilante , la cual le permite detectar otros seres y objetos de valor.","He has a serious and elegant behaviour, but is very loyal
to his friends. His psychic powers increase as night falls, 
it allows him to move objects with his mind, create 
barriers, and communicate with spirits. He has 
developed a great sensorial capacity thats makes him a 
great ranger and guardian, which allows him to detect 
other beings and valuable objects.",365,3,,2,,,
66,,Bovi,"En la infancia suelen juntarse con otros infantes de la misma especie para jugar y pasar el rato. Son muy sociables y curiosos, por lo que no temen acercarse a otras especies. Su forma blanda y redonda les permite dar botes muy altos con los que se mueven y escapan si es necesario. Viven en bosques y les gusta esconderse en arbustos y ramas de árboles, donde alcanzan a llegar debido a sus botes.","As infants, they often gather with other infants of the same species to play and spend time together. They are very sociable and curious, so they are not afraid to approach other species. Their soft, round shape allows them to bounce very high, which they use to move around and escape if necessary. They live in forests and like to hide in bushes and tree branches, which they can reach thanks to their bouncing ability.",421,1,,,,2,
67,,Vimlo,"Vimlo es un pequeño monstruo gelatinoso que vive en los huertos de cítricos más soleados del mundo. Su cuerpo tiene la textura de una gominola suave y desprende un aroma fresco y agradable. Siempre esta sonriendo y le encanta saltar, jugar y hacer reir a quienes lo rodean. A diferencia de otros monstruos, nunca hace daño: su mayor poder es convertir cualquier momento aburrido en una experiencia divertida y llena de alegría.","Vimlo is a small gelatinous monster that lives in the sunniest citrus orchards in the world. Its body has the texture of a soft gummy candy and gives off a fresh, pleasant scent. It is always smiling and loves to jump, play, and make everyone around it laugh. Unlike other monsters, it never causes harm: its greatest power is turning any boring moment into a fun and joyful experience.",386,1,,,,1,
68,,Lumoel,"Lumoel es una criatura suave y curiosa que ama explorar el cielo y el mar con movimientos tranquilos. Le gusta ayudar a otros a sentirse seguros, compartir juegos tranquilos y descubrir nuevas melodías con el viento. Siempre transmite calma, amistad y confianza.","Lumoel is a gentle and curious creature that loves exploring the sky and sea with calm movements. It enjoys helping others feel safe, sharing peaceful games, and discovering new melodies with the wind. It always brings comfort, friendship, and trust.",327,2,,2,,,
69,,Hantiux,"Hantiux era el guardián del Lago Silencioso. A diferencia de otros, hablaba poco, pero sus tres ojos veían secretos escondidos bajo el agua. Una noche, el lago empezó a agitarse y una sombra oscura intentó escapar desde el fondo.
Hantiux se plantó firme, abrió bien la boca y dejó escapar un rugido que hizo vibrar las montañas. Sus ojos brillaron al mismo tiempo, sellando la sombra otra vez en el lago.
Cuando todo volvió a la calma, Hantiux se sentó a observar las estrellas reflejadas en el agua, sabiendo que había cumplido su misión.","""Hantiux was the guardian of the Silent Lake. Unlike others, he spoke little, but his three eyes saw secrets hidden beneath the water. One night, the lake began to stir, and a dark shadow tried to escape from its depths. Hantiux stood firm, opened his mouth wide, and let out a roar that shook the mountains. His eyes flashed at the same time, sealing the shadow back into the lake. When all was calm again, Hantiux sat and watched the stars reflected in the water, knowing he had fulfilled his mission.""",504,3,,,1,,
70,,Beorin,"Beorin es el protector del bosque. A primera vista parece un adorable oso de peluche con grandes ojos de botón y una terrorifica sonrisa.
Cuando la luz se apaga, sus inquietantes zarpas brillan en la oscuridad y emite unos gruñidos que suenan como una tela vieja al romperse. Dicen que solo ataca a quienes dañan su bosque.","Beorin is the protector of the forest. At first glance, he looks like an adorable teddy bear with big button eyes and a terrifying smile. When the light goes out, his unsettling claws glow in the dark and he emits growls that sound like old fabric tearing. They say he only attacks those who harm his forest.",280,1,1,,,,
71,,Beorror,"Habiendo sobrevivido a su etapa inicial, Beorror ha crecido para soportar el peso de su cabeza. Su cuerpo, antes diminuto, ahora es masivo y cuadrado. Sus extremidades delanteras se han desarrollado desproporcionadamente, convirtiéndose en brazos gruesos y musculosos similares a los de un gorila, rematados por garras rosadas mucho más grandes y letales.","Having survived his initial stage, Beorror has grown to support the weight of his head. His body, once tiny, is now massive and square. His forelimbs have developed disproportionately, turning into thick, muscular arms similar to those of a gorilla, tipped with much larger and more lethal pink claws.",301,2,2,,,,
72,,Flimbo,"Flimbo es una criatura alegre y creativa que disfruta moverse, saltar y descubrir nuevas aventuras con sus amigos. Le encanta ayudar, compartir risas y aprender cosas nuevas cada día. Siempre busca crear un ambiente amable, donde todos se sientan valorados, tranquilos y llenos de confianza.","Flimbo is a cheerful and creative creature that enjoys moving, jumping, and discovering new adventures with friends. It loves helping others, sharing laughter, and learning something new every day. It always tries to create a kind environment where everyone feels valued, calm, and confident.",292,1,,,,2,
73,,Quaquer,"Quaquer es una criatura anfibia que recuerda a un patito de goma que cobró vida y bebió demasiadas bebidas energéticas. Su plumaje es de un azul eléctrico impermeable, con un pico y patas de un amarillo saturado. Tiene una cresta de espinas en la espalda que le da un aspecto punk, y sus grandes ojos con bordes rojizos miran fijamente sin parpadear, como si estuviera procesando información a mil por hora (o nada en absoluto).","Quaquer is an amphibious creature that resembles a rubber duck that came to life and drank too many energy drinks. His plumage is a waterproof electric blue, with a saturated yellow beak and legs. He has a crest of spines on his back that gives him a punk look, and his large red-rimmed eyes stare fixedly without blinking, as if he were processing information at a thousand miles per hour (or nothing at all).",410,2,2,,,,
74,,Twimel,"Twimel es una criatura dulce, creativa y muy cooperativa que representa la amistad y el equilibrio entre diferentes personalidades. Sus dos lados trabajan siempre juntos, compartiendo ideas, emociones y juegos. Le encanta crear momentos felices, probar nuevas actividades y ayudar a otros a sentirse incluidos. Twimel cree en la importancia de escuchar, respetar y apoyarse mutuamente, mostrando que las diferencias pueden convertirse en una gran fortaleza cuando hay confianza, paciencia y cariño.","Twimel is a sweet, creative, and very cooperative creature that represents friendship and balance between different personalities. Its two sides always work together, sharing ideas, feelings, and games. It loves creating happy moments, trying new activities, and helping others feel included. Twimel believes in listening, respecting, and supporting each other, showing that differences can become a great strength when there is trust, patience, and care.",455,3,,,1,,
75,,Luminel,"Luminel es un pequeño monstruo alegre con un solo ojo brillante que observa el mundo con curiosidad. Vive en cuevas luminosas y jardines secretos, donde recoge risas y sueños. Siempre está dispuesto a escuchar a los demás, dar consejos sinceros y animar a quien se siente triste. Su energía positiva llena de luz cualquier lugar al que llega.","Luminel is a small, cheerful monster with a single bright eye that observes the world with curiosity. He lives in glowing caves and secret gardens, where he collects laughter and dreams. He is always ready to listen to others, give sincere advice, and encourage anyone who feels sad. His positive energy fills every place he reaches with light.",344,1,,,,1,
76,,Verdufo,"Verdufo es un monstruo suave y simpático que vive en praderas húmedas y colinas verdes. Sus grandes ojos expresan ternura y curiosidad por todo lo que lo rodea. Le encanta observar las estrellas, escuchar historias y acompañar a sus amigos en aventuras tranquilas. Aunque parece tímido, siempre demuestra un gran valor y un corazón lleno de bondad.","Verdufo is a soft and friendly monster who lives in humid meadows and green hills. His big eyes express tenderness and curiosity about everything around him. He loves watching the stars, listening to stories, and accompanying his friends on calm adventures. Although he seems shy, he always shows great courage and a heart full of kindness.",340,2,,,,3,
77,,Niivu,"Niivu es una pequeña bola de pelo de color azul pálido, casi blanco, adaptada para camuflarse en la nieve. Sus enormes ojos marrones siempre parecen llorosos y asustados, reflejando su naturaleza tímida e inocente. Sus marcas son suaves y apenas visibles, y su pequeño collar marrón es un indicio de la protección que busca.","Niivu is a small ball of pale blue fur, almost white, adapted to camouflage in the snow. His huge brown eyes always seem teary and frightened, reflecting his shy and innocent nature. His markings are soft and barely visible, and his small brown collar is a hint of the protection he seeks.",289,1,,1,,,
78,,Nivaru,"Nivaru es un monstruo dulce y curioso que habita en montañas nevadas y bosques silenciosos. Su pelaje suave brilla bajo la luz de la luna, y sus grandes ojos reflejan sabiduría y ternura. Le encanta explorar senderos ocultos, cuidar a sus amigos y guardar historias antiguas. Aunque es tranquilo, posee una fuerza interior que lo convierte en un fiel protector.","Nivaru is a sweet and curious monster who lives in snowy mountains and silent forests. His soft fur shines under the moonlight, and his big eyes reflect wisdom and tenderness. He loves exploring hidden paths, taking care of his friends, and keeping ancient stories. Although he is calm, he has an inner strength that makes him a loyal protector.",345,3,,3,,,
79,,Dulccino,"Dulcino es un monstruo alegre formado por dos espíritus dulces que viven unidos en un cono mágico. Representa la amistad, el equilibrio y la armonía. Le encanta compartir sonrisas, recorrer ferias encantadas y regalar momentos felices. Siempre trabaja en equipo consigo mismo y con los demás, demostrando que la unión y la ternura pueden crear verdadera magia.","Dulcino is a cheerful monster made up of two sweet spirits that live together in a magical cone. He represents friendship, balance, and harmony. He loves sharing smiles, wandering through enchanted fairs, and giving happy moments. He always works as a team with himself and with others, showing that unity and tenderness can create true magic.",343,3,,,1,,
80,,Trivlo,"Trivlo es una criatura amable, tranquila y muy observadora que disfruta explorar el mundo con curiosidad y respeto. Le encanta escuchar historias, aprender de los demás y compartir momentos llenos de alegría. Siempre busca crear un ambiente seguro donde todos se sientan valorados, apoyados y comprendidos. Trivlo cree en la amistad, la paciencia y el trabajo en equipo, y le gusta ayudar a resolver pequeños problemas con calma y creatividad.","Trivlo is a kind, calm, and very observant creature that enjoys exploring the world with curiosity and respect. It loves listening to stories, learning from others, and sharing joyful moments. It always tries to create a safe space where everyone feels valued, supported, and understood. Trivlo believes in friendship, patience, and teamwork, and enjoys solving small problems with calmness and creativity.",406,1,,1,,,
